PO,Id Unico de Pago,Remesa,Orden de Pago
7EA4BBAF-467A-4287-BDE0-3292E22A2F35,7EA4BBAF-467A-4287-BDE0-3292E22A2F35,Remesa-8211159,Orden de Pago-8294269
4C0B521F-E8F1-47BE-BBB8-C8EC1EE5FBD7,4C0B521F-E8F1-47BE-BBB8-C8EC1EE5FBD7,Remesa-8211160,Orden de Pago-8294270
C5ED6513-ACBE-4DE3-AE27-294F00DE7864,C5ED6513-ACBE-4DE3-AE27-294F00DE7864,Remesa-8211173,Orden de Pago-8294283
7F8FDD1D-F39F-45CD-B2F8-8E32680BE5CF,7F8FDD1D-F39F-45CD-B2F8-8E32680BE5CF,Remesa-8211176,Orden de Pago-8294286
9F0D8ECF-F4D0-4DEF-99A2-E6006B40A748,9F0D8ECF-F4D0-4DEF-99A2-E6006B40A748,Remesa-8211206,Orden de Pago-8294316
D457DEFA-2D00-401D-A0D8-16F71930F16D,D457DEFA-2D00-401D-A0D8-16F71930F16D,Remesa-8211207,Orden de Pago-8294317
B60401B8-091E-47D2-AA78-AEC279D0CCD5,B60401B8-091E-47D2-AA78-AEC279D0CCD5,Remesa-8211212,Orden de Pago-8294322
E51C66EA-FE07-4294-858C-62AFAD93A4E9,E51C66EA-FE07-4294-858C-62AFAD93A4E9,Remesa-8211220,Orden de Pago-8294330
55BA7FD7-EC5F-4E99-BBFB-44FF338CFD24,55BA7FD7-EC5F-4E99-BBFB-44FF338CFD24,Remesa-8211226,Orden de Pago-8294336
E6729529-D081-4225-B242-08C62F24C5F1,E6729529-D081-4225-B242-08C62F24C5F1,Remesa-8211229,Orden de Pago-8294339
ADC34250-F142-4F4F-819B-39AA11268410,ADC34250-F142-4F4F-819B-39AA11268410,Remesa-8211234,Orden de Pago-8294344
4559CF15-AEF9-4FE2-904D-546857577BE0,4559CF15-AEF9-4FE2-904D-546857577BE0,Remesa-8211245,Orden de Pago-8294355
65354576-B128-478B-B915-4405793FA990,65354576-B128-478B-B915-4405793FA990,Remesa-8211250,Orden de Pago-8294360
88735641-AA40-47A5-9EAA-72C2303C0B37,88735641-AA40-47A5-9EAA-72C2303C0B37,Remesa-8211253,Orden de Pago-8294363
04BFED70-9244-4D52-8D8C-90C528014C08,04BFED70-9244-4D52-8D8C-90C528014C08,Remesa-8211258,Orden de Pago-8294369
DAF936CD-E5C4-426D-8A9A-6D66D087CD91,DAF936CD-E5C4-426D-8A9A-6D66D087CD91,Remesa-8211259,Orden de Pago-8294370
674D1DC0-0FBD-4A50-AD56-1ECDFBBD0441,674D1DC0-0FBD-4A50-AD56-1ECDFBBD0441,Remesa-8211260,Orden de Pago-8294371
0F736514-0DB8-4A33-AB2E-E87BFB0251CF,0F736514-0DB8-4A33-AB2E-E87BFB0251CF,Remesa-8211263,Orden de Pago-8294374
62CAA353-AE23-40FB-9986-2F74D171F68D,62CAA353-AE23-40FB-9986-2F74D171F68D,Remesa-8211264,Orden de Pago-8294375
9000A27E-C3C5-42BE-80F8-2C6FE01BC8D4,9000A27E-C3C5-42BE-80F8-2C6FE01BC8D4,Remesa-8211265,Orden de Pago-8294376
768D6F10-1950-4D1D-80E0-2E38C406C335,768D6F10-1950-4D1D-80E0-2E38C406C335,Remesa-8211267,Orden de Pago-8294378
D3C59E68-5AFA-490E-B779-E200D6C64A81,D3C59E68-5AFA-490E-B779-E200D6C64A81,Remesa-8211268,Orden de Pago-8294379
705B3060-A67C-48D7-953A-43200D1D8980,705B3060-A67C-48D7-953A-43200D1D8980,Remesa-8211269,Orden de Pago-8294380
3AF2A124-AE6D-48EA-8C90-D715AEF39374,3AF2A124-AE6D-48EA-8C90-D715AEF39374,Remesa-8211279,Orden de Pago-8294390
7953888A-CA54-4C0A-9AB2-9A75FA2D9A3C,7953888A-CA54-4C0A-9AB2-9A75FA2D9A3C,Remesa-8211282,Orden de Pago-8294393
B38646E9-B500-478A-9891-8FFC36763152,B38646E9-B500-478A-9891-8FFC36763152,Remesa-8211284,Orden de Pago-8294395
802CA04F-B7F6-46B6-8FA6-210C16AA41FC,802CA04F-B7F6-46B6-8FA6-210C16AA41FC,Remesa-8211285,Orden de Pago-8294396
4A4707D6-8641-416E-AB5C-60AA04044114,4A4707D6-8641-416E-AB5C-60AA04044114,Remesa-8211288,Orden de Pago-8294399
D63779EB-3747-4598-ADC1-44A908009459,D63779EB-3747-4598-ADC1-44A908009459,Remesa-8211294,Orden de Pago-8294405
FA4C7B3E-2AE5-49C4-BE03-ECB27A333787,FA4C7B3E-2AE5-49C4-BE03-ECB27A333787,Remesa-8211298,Orden de Pago-8294409
99DA514F-1A87-4E43-B3E7-320AAF210C23,99DA514F-1A87-4E43-B3E7-320AAF210C23,Remesa-8211302,Orden de Pago-8294413
D8311242-796E-475F-8DB2-A32E4D0309EE,D8311242-796E-475F-8DB2-A32E4D0309EE,Remesa-8211307,Orden de Pago-8294418
27F96131-C73C-43B2-8EB6-F994BFFFF568,27F96131-C73C-43B2-8EB6-F994BFFFF568,Remesa-8211310,Orden de Pago-8294421
970E858D-879E-4BFA-AA99-C14919D2A78F,970E858D-879E-4BFA-AA99-C14919D2A78F,Remesa-8211317,Orden de Pago-8294428
CC44ADB8-351A-45CE-B7E6-1698522D01F0,CC44ADB8-351A-45CE-B7E6-1698522D01F0,Remesa-8211321,Orden de Pago-8294432
CEDA7F46-6A5F-473A-B299-DDD95E6C0AA3,CEDA7F46-6A5F-473A-B299-DDD95E6C0AA3,Remesa-8211326,Orden de Pago-8294437
8CFD4C45-901E-4B25-B58E-237EA4C2D08A,8CFD4C45-901E-4B25-B58E-237EA4C2D08A,Remesa-8211331,Orden de Pago-8294443
2F027CC0-582B-469B-973B-91AA2D1F6B28,2F027CC0-582B-469B-973B-91AA2D1F6B28,Remesa-8211339,Orden de Pago-8294451
EAD008DF-4B5D-403E-B66B-EAB2FEFB34C5,EAD008DF-4B5D-403E-B66B-EAB2FEFB34C5,Remesa-8211340,Orden de Pago-8294452
E9F83601-1AF4-40C7-93A5-5E3DCF80A205,E9F83601-1AF4-40C7-93A5-5E3DCF80A205,Remesa-8211345,Orden de Pago-8294457
B96451A9-F21C-47A7-92E4-E4BCBEB6D699,B96451A9-F21C-47A7-92E4-E4BCBEB6D699,Remesa-8211347,Orden de Pago-8294459
A939C59F-F1B5-43BA-9346-345E9730B51B,A939C59F-F1B5-43BA-9346-345E9730B51B,Remesa-8211350,Orden de Pago-8294462
DC915229-A97E-4188-A0E2-8BAF89A65430,DC915229-A97E-4188-A0E2-8BAF89A65430,Remesa-8211352,Orden de Pago-8294464
C95EFB68-55BE-47AC-8FDF-41BF405DC2ED,C95EFB68-55BE-47AC-8FDF-41BF405DC2ED,Remesa-8211354,Orden de Pago-8294466
F37D79BE-4D81-4331-97A2-049EA0862467,F37D79BE-4D81-4331-97A2-049EA0862467,Remesa-8211357,Orden de Pago-8294469
B81D7F65-90C3-4799-8318-7967488689DF,B81D7F65-90C3-4799-8318-7967488689DF,Remesa-8211361,Orden de Pago-8294473
DE25297E-D7BA-417B-BEFC-1F158968B557,DE25297E-D7BA-417B-BEFC-1F158968B557,Remesa-8211362,Orden de Pago-8294474
605BEA58-0F04-4D40-B658-D635E9684F13,605BEA58-0F04-4D40-B658-D635E9684F13,Remesa-8211367,Orden de Pago-8294479
984E4570-0856-4BAB-801E-B3A987716E32,984E4570-0856-4BAB-801E-B3A987716E32,Remesa-8211383,Orden de Pago-8294495
E5326CA3-6DC1-468E-8848-C7517BAB2137,E5326CA3-6DC1-468E-8848-C7517BAB2137,Remesa-8211388,Orden de Pago-8294500
7C03EAD5-4F4E-4F6A-83A6-9029FA5D86E7,7C03EAD5-4F4E-4F6A-83A6-9029FA5D86E7,Remesa-8211403,Orden de Pago-8294515
F3DA817A-B7FF-40C6-92A4-192F20945779,F3DA817A-B7FF-40C6-92A4-192F20945779,Remesa-8211404,Orden de Pago-8294516
E9DDD28B-448E-4242-B6E6-DA046462ED1F,E9DDD28B-448E-4242-B6E6-DA046462ED1F,Remesa-8211407,Orden de Pago-8294519
8C6DBA9B-9BFA-46BF-99D4-85E78725E91D,8C6DBA9B-9BFA-46BF-99D4-85E78725E91D,Remesa-8211413,Orden de Pago-8294525
E08C8894-3593-4F8E-967A-ACB705FE10B4,E08C8894-3593-4F8E-967A-ACB705FE10B4,Remesa-8211422,Orden de Pago-8294534
807C25A2-B7B6-4BD7-A1DA-7D88CB1C4EB3,807C25A2-B7B6-4BD7-A1DA-7D88CB1C4EB3,Remesa-8211432,Orden de Pago-8294544
FE4C540C-FB37-4FD7-A989-EE56CD5EA160,FE4C540C-FB37-4FD7-A989-EE56CD5EA160,Remesa-8211436,Orden de Pago-8294548
D3924A95-00C0-457A-85AE-DB7E7071DC96,D3924A95-00C0-457A-85AE-DB7E7071DC96,Remesa-8211438,Orden de Pago-8294550
04999550-F92A-448A-BD10-334E5BF0889B,04999550-F92A-448A-BD10-334E5BF0889B,Remesa-8211443,Orden de Pago-8294556
57B80FE5-277F-4682-BC14-D6D240EEF6B5,57B80FE5-277F-4682-BC14-D6D240EEF6B5,Remesa-8211444,Orden de Pago-8294557
CF8225F4-527C-4979-8AA1-6532AE4D45CF,CF8225F4-527C-4979-8AA1-6532AE4D45CF,Remesa-8211447,Orden de Pago-8294561
FE319727-8D09-4E67-8872-2147503CF727,FE319727-8D09-4E67-8872-2147503CF727,Remesa-8211451,Orden de Pago-8294564
2A1D7EA9-1189-4896-9E0C-A55ECB8F0A5F,2A1D7EA9-1189-4896-9E0C-A55ECB8F0A5F,Remesa-8211456,Orden de Pago-8294569
D6612CC1-A719-4FBF-ACC1-5D48E66581C5,D6612CC1-A719-4FBF-ACC1-5D48E66581C5,Remesa-8211457,Orden de Pago-8294570
EAB993FF-A845-48E5-8E46-20EE30ADD4A1,EAB993FF-A845-48E5-8E46-20EE30ADD4A1,Remesa-8211463,Orden de Pago-8294576
060E61EA-59DB-4893-9736-D1FE7E47DD19,060E61EA-59DB-4893-9736-D1FE7E47DD19,Remesa-8211470,Orden de Pago-8294583
7D268727-0958-4A9E-BD6E-2C6BEFF6BF88,7D268727-0958-4A9E-BD6E-2C6BEFF6BF88,Remesa-8211471,Orden de Pago-8294584
A1880969-90FA-4227-83A2-A94922E842B0,A1880969-90FA-4227-83A2-A94922E842B0,Remesa-8211508,Orden de Pago-8294623
3A406FCC-2B7B-44F1-9441-FC5D1D07B099,3A406FCC-2B7B-44F1-9441-FC5D1D07B099,Remesa-8211522,Orden de Pago-8294637
A74E383F-8CF8-4E36-846A-73C06F8AC20E,A74E383F-8CF8-4E36-846A-73C06F8AC20E,Remesa-8211531,Orden de Pago-8294646
3C966FDB-631C-4C31-A8E6-1C6F937CB6C7,3C966FDB-631C-4C31-A8E6-1C6F937CB6C7,Remesa-8211543,Orden de Pago-8294658
CA4B4DB3-7425-4974-B0A1-8ECBFD9656B0,CA4B4DB3-7425-4974-B0A1-8ECBFD9656B0,Remesa-8211546,Orden de Pago-8294662
72EE598C-F410-4F31-AECF-89493797DAD6,72EE598C-F410-4F31-AECF-89493797DAD6,Remesa-8211547,Orden de Pago-8294663
5083836F-CBB2-4324-AA1E-7660A33F5C35,5083836F-CBB2-4324-AA1E-7660A33F5C35,Remesa-8211552,Orden de Pago-8294668
66397D04-5757-456A-85BC-9622E080598E,66397D04-5757-456A-85BC-9622E080598E,Remesa-8211712,Orden de Pago-8294832
12E9E942-C7DA-4575-9FDB-E29ABA125FA1,12E9E942-C7DA-4575-9FDB-E29ABA125FA1,Remesa-8211751,Orden de Pago-8294871
AEC9A406-2C19-404D-97A6-255DFA212904,AEC9A406-2C19-404D-97A6-255DFA212904,Remesa-8211755,Orden de Pago-8294875
049A3A01-DF5B-40B8-BF23-3CF222A6D12A,049A3A01-DF5B-40B8-BF23-3CF222A6D12A,Remesa-8211762,Orden de Pago-8294883
1D8AC2F7-8C35-4F36-9792-6B51895614E8,1D8AC2F7-8C35-4F36-9792-6B51895614E8,Remesa-8211778,Orden de Pago-8294899
D1105152-31A1-4C5F-AA6F-E62A103E2420,D1105152-31A1-4C5F-AA6F-E62A103E2420,Remesa-8211788,Orden de Pago-8294910
CF3CDEF6-6248-4150-89E0-2A4E73EC78B3,CF3CDEF6-6248-4150-89E0-2A4E73EC78B3,Remesa-8211841,Orden de Pago-8294965
